;Zinc_ID;SMILES;MolecularFormula;MolWt;MolLogp;HAcceptors;HDonors;RotableBonds;RindCount;TPSA
84;ZINC000245204670;NC[C@@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O;C6H13NO5;179.079372516;-3.2549999999999994;6;5;1;1;116.17000000000002
85;ZINC000013351069;NC[C@@H](O)[C@H](O)C(=O)O;C4H9NO4;135.053157768;-2.2485000000000004;4;4;3;0;103.78000000000002
86;ZINC000013353472;C[C@H](C(=O)O)[C@H](O)[C@H](N)C(=O)O;C6H11NO5;177.063722452;-1.5200999999999993;4;4;4;0;120.85000000000001
87;ZINC000000901090;C[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)C(=O)O;C6H12O6;180.063388104;-2.465500000000001;5;5;4;0;118.22000000000001
88;ZINC000013352802;N[C@@H](CCO)C(=O)NCCO;C6H14N2O3;162.100442308;-2.195399999999999;4;4;5;0;95.58
89;ZINC000038416505;O=C1CNC(=O)[C@@H](Cc2cnc[nH]2)N1;C8H10N4O2;194.08037556;-1.433199999999999;3;3;2;2;86.88
90;ZINC000001693258;NCC(O)CN;C3H10N2O;90.07931294;-1.7352999999999996;3;3;2;0;72.27
91;ZINC000005374243;O=C1N[C@@H](CO)C(=O)N2CCC[C@@H]12;C8H12N2O3;184.084792244;-1.5318999999999994;3;2;1;2;69.64
92;ZINC000013352668;COC(=O)[C@H](O)[C@@H](N)C(=O)O;C5H9NO5;163.048072388;-2.0678;5;3;3;0;109.85000000000001
93;ZINC000014455330;OC[C@H]1NCC[C@H]1O;C5H11NO2;117.078978592;-1.2985;3;3;1;1;52.489999999999995
94;ZINC000238775207;C[C@H](O)[C@H](O)[C@H](O)[C@@H](O)C(=O)CO;C7H14O6;194.079038168;-2.988700000000001;6;5;5;0;118.22000000000001
95;ZINC000307083502;O=C1[C@H](CO)CC[C@@H]1[C@H](O)CO;C8H14O4;174.089208928;-1.0728000000000002;4;3;3;1;77.76
96;ZINC000005132045;OC[C@@H]1O[C@H]1C#CC#C[C@H]1O[C@H]1CO;C10H10O4;194.0579088;-1.4874000000000003;4;2;2;2;65.52
97;ZINC000033902603;C[C@H](O)[C@H](O)C[C@@H](O)C=O;C6H12O4;148.073558864;-1.322;4;3;4;0;77.75999999999999
98;ZINC000032190461;NC(N)=NCC[C@H]1C[C@H](N)C(=O)O1;C7H14N4O2;186.111675688;-1.7072999999999983;4;3;3;1;116.72000000000001
99;ZINC000196458935;C[C@@H](O)[C@@H](N)P(=O)(O)O;C3H10NO4P;155.03474443;-1.1703;3;4;2;0;103.78
100;ZINC000197373675;C[C@]12OC[C@@H](O)[C@]1(O)O[B-](O)(O)O2;C5H10BO7-;193.05250663991;-2.7506999999999997;7;4;0;2;108.61000000000001
101;ZINC000014683702;Cn1cnc2[nH]c(=O)n(C)c2c1=O;C7H8N4O2;180.064725496;-1.0397000000000005;5;1;0;2;72.68
102;ZINC000001532549;OC[C@@H]1O[C@@H](O)[C@@H](O)[C@H](O)[C@@H]1O;C6H12O6;180.063388104;-3.2214000000000005;6;5;1;1;110.38000000000001
103;ZINC000105351997;O=C1C=C[C@H](O)[C@]2(CO)O[C@@H]12;C7H8O4;156.042258736;-1.3839000000000004;4;2;1;2;70.06
104;ZINC000238399686;CO[C@H](CC(=O)O)[C@H](O)C(=O)O;C6H10O6;178.04773804;-1.0784;4;3;5;0;104.06000000000002
105;ZINC000012503978;CO[C@@H]1[C@@H](O)[C@H](O)[C@H](C)O[C@H]1O;C7H14O5;178.084123548;-1.5397;5;3;1;1;79.15
106;ZINC000001492251;OC[C@@H]1NC[C@H](O)[C@H]1O;C5H11NO3;133.073893212;-2.3276999999999988;4;4;1;1;72.72
107;ZINC000003137564;CC(=O)N[C@@H](CC(N)=O)C(=O)O;C6H10N2O4;174.0640568;-1.5488999999999988;3;3;4;0;109.49
108;ZINC000142497718;N[C@@H](C=O)[C@@H](O)CO;C4H9NO3;119.058243148;-2.1342;4;3;3;0;83.55000000000001
109;ZINC000085594637;NC[C@H](O)[C@H]1NC(N)=N[C@@H]1C(=O)O;C6H12N4O3;188.090940244;-2.9542999999999973;6;5;3;1;133.95999999999998
110;ZINC000001530146;O=C(O)C[C@@H](C(=O)O)C(=O)C(=O)O;C6H6O7;190.01135253200002;-1.1843999999999997;4;3;5;0;128.96999999999997
111;ZINC000004028704;O=C(O)C[C@]1(C(=O)O)O[C@@H]1C(=O)O;C6H6O7;190.01135253200002;-1.2320999999999995;4;3;4;1;124.42999999999999
112;ZINC000022055080;O[C@H]1C=C[C@@H](O)[C@H](O)[C@@H]1O;C6H10O4;146.0579088;-2.0002000000000004;4;4;0;1;80.92
113;ZINC000166134198;COC[C@H](O)[C@@H](O)[C@@H](C=O)OC;C7H14O5;178.084123548;-1.4315;5;2;6;0;75.99
114;ZINC000036475234;O[C@@H]1O[C@H]2CO[C@H]([C@@H]2O)[C@H]1O;C6H10O5;162.05282342;-2.1757999999999993;5;3;0;2;79.15
115;ZINC000255968200;CO[C@H]1[C@@H](O)[C@H](CO)[C@@H](O)[C@H]1O;C7H14O5;178.084123548;-2.2937999999999996;5;4;2;1;90.15
116;ZINC000257376786;C[C@]1(O)[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O;C7H14O6;194.079038168;-3.444500000000001;6;6;0;1;121.38000000000001
117;ZINC000013438104;NC[C@@H](O)C[C@@H](N)CC(=O)O;C6H14N2O3;162.100442308;-1.5018999999999996;4;4;5;0;109.57000000000001
118;ZINC000014723862;CC1=NC[C@H](O)[C@H](C(=O)O)N1;C6H10N2O3;158.06914218;-1.1779;4;3;1;1;81.92
119;ZINC000003394130;O=C(O)CN1C(=O)CNC1=O;C5H6N2O4;158.032756672;-1.3772000000000002;3;2;2;1;86.71000000000001
120;ZINC000003869786;O=C(O)[C@@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO;C6H12O7;196.058302724;-3.4931000000000005;6;6;5;0;138.45000000000002
121;ZINC000100053150;O[C@H]1[C@H](O)[C@H](O)[C@H]2CC[C@@]1(O)N2;C7H13NO4;175.084457896;-2.4766999999999997;5;5;0;2;92.95
