zinc_id,smiles
ZINC000003869850,O=C1C[C@@H](C(=O)O)NC(=O)N1
ZINC000014412033,C[C@@H]1O[C@H](O)[C@@H](O)[C@@]1(O)C(=O)O
ZINC000001677572,N=C(N)NCCC[C@H](O)C(=O)O
ZINC000001530424,CC(=O)NCC[C@H](N)C(=O)O
ZINC000013353100,CC#C[C@@H](O)[C@@H](N)C(=O)O
ZINC000001529792,O=C(O)CC(=O)[C@@H](O)[C@@H](O)CO
ZINC000003869819,O=C(O)C[C@H](O)[C@H](O)[C@H](O)CO
ZINC000144666957,CN[C@H]1[C@H](O)[C@H](O)[C@@H](CO)O[C@H]1O
ZINC000255982187,N[C@H]1[C@H](O)[C@H](O)[C@@H](O)[C@@H](O)[C@@H]1O
ZINC000013351025,N[C@@H](C(=O)O)[C@@H](O)CO
ZINC000004521578,CC1=N[C@H](C(=O)O)[C@@H](O)CN1
ZINC000006761085,OC[C@@]1(O)[C@@H](O)[C@H](O)CO[C@H]1O
ZINC000238655991,O=C1O[C@H](CO)[C@H](O)[C@@H](O)C1=O
ZINC000014858510,OC1[C@@H](O)[C@H]2CC[C@H](N2)[C@H]1O
ZINC000003870515,OC[C@@H]1NC[C@@H](O)[C@@H](O)[C@@H]1O
ZINC000038810082,O[C@@H]1C[C@@H]2N[C@H]1C[C@@H](O)[C@@H]2O
ZINC000257635979,O=C1[C@@H](O)[C@@H]2CC[C@@H]([C@@H]2O)[C@H]1O
ZINC000100465241,O=C(O)C(=O)[C@H](O)[C@H](O)[C@H](O)CO
ZINC000003651893,NCC(=O)[C@@H](O)C(=O)O
ZINC000078135177,C[C@H](O)[C@@H]1NC[C@H](O)[C@H]1O
ZINC000211888227,C[C@]1(O)C(=O)NCO[C@@H]1N
ZINC000202244357,O=C1O[C@@H](C(=O)O)[C@H](O)[C@@H]1O
ZINC000001702656,O=CC[C@H](O)[C@H](O)CO
ZINC000002004603,N[C@@H](CC(C(=O)O)C(=O)O)C(=O)O
ZINC000004831363,C[C@H]1O[C@@H](O)C[C@@H](O)[C@@H]1O
ZINC000006072522,NC(=O)[C@@H](O)[C@H](N)C(=O)O
ZINC000100028895,C[C@H](O)[C@@H](O)[C@@H](O)C(=O)CO
ZINC000069488937,OC[C@H](O)[C@@H](O)[C@@H](O)C(O)=C(O)O
ZINC000005967229,CN1C(=O)[C@H](NC(N)=O)N(C)C1=O
ZINC000306616462,CO[C@@H]1O[C@H](O)[C@@H](CO)[C@H]1O
ZINC000085598562,O=C1OC[C@@H]([C@@H](O)C(=O)O)OC1=O
ZINC000001616718,O=C(O)[C@@H]1NCC=C[C@@H]1O
ZINC000257537968,CO[C@H]1O[C@@H](OC)[C@@H](O)[C@@]1(O)CO
ZINC000257375796,C[C@@H]1CC[C@@H]2[C@H](O)[C@@H](O)[C@@H](CO)N12
ZINC000001529520,O=C(O)C[C@@H](O)[C@H](O)[C@H](O)CO
ZINC000001719890,NC[C@H](O)CC[C@H](N)C(=O)O
ZINC000004689151,NOCC(=O)O
ZINC000022055784,O=C1C[C@H](O)[C@H](CO)O[C@H]1O
ZINC000004533721,N[C@@H](CC(=O)NCC(=O)O)C(=O)O
ZINC000105133397,CO[C@@H]1OC[C@H](N)[C@H](O)[C@@H]1O
ZINC000002436826,C[C@@H](O)[C@H](N)CO
ZINC000201391060,O=C(O)[C@H]1OCC[C@@H](O)C1=O
ZINC000001532648,O=C1O[C@H]([C@@H](O)CO)C(=O)C1=O
ZINC000001856991,O[C@H]1[C@@H]2CC[C@@](O)(N2)[C@@H](O)[C@@H]1O
ZINC000004403354,OC[C@@H]1OC[C@H](O)[C@@H](O)[C@@H]1O
ZINC000409444255,O=C1O[C@@H](C(=O)O)[C@H](O)[C@H](O)[C@@H]1O
ZINC000015115255,O=C1C[C@@](O)(C(=O)O)[C@H](C(=O)O)O1
ZINC000085562093,NC[C@](O)(C(=O)O)[C@@H]1CNC(N)=N1
ZINC000257437644,C[C@@H]1O[C@H](O)[C@H](O)[C@H](O)[C@H]1N(C)C
